user_id,device_id,event_type,timestamp,hour
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,B0E9FE892B71,Turn on circulator fan,2025-05-01 12:54:53,12
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,02-202505201942-51413180,Turn off AC,2025-05-01 11:21:39,11
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,CB151A0062CD,Read door state,2025-05-01 17:57:01,17
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,02-202505201942-51413180,Turn off AC,2025-05-01 15:55:46,15
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,FEC966A1B4C1,Read current humidity,2025-05-01 13:09:53,13
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,FEC966A1B4C1,Read current lightlevel,2025-05-01 18:00:57,18
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,02-202505201942-51413180,Turn off AC,2025-05-01 11:24:41,11
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,D48C49DC31EA,Turn off humidifier,2025-05-01 14:01:54,14
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,CB151A0062CD,Read lock state,2025-05-01 15:14:21,15
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,B0E9FE892B71,Turn on circulator fan,2025-05-01 11:02:02,11
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,D48C49DC31EA,Turn off humidifier,2025-05-01 14:48:12,14
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,FEC966A1B4C1,Read current temperature,2025-05-01 17:49:21,17
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,B0E9FE892B71,Turn on circulator fan,2025-05-01 15:34:06,15
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,CB151A0062CD,Read lock state,2025-05-01 08:15:21,8
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,FEC966A1B4C1,Read current humidity,2025-05-01 18:51:32,18
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,CB151A0062CD,Read door state,2025-05-01 13:16:29,13
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,B08184D72E46,Turn off purifier,2025-05-01 17:56:21,17
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,B08184D72E46,Turn off purifier,2025-05-01 11:52:42,11
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,D48C49DC31EA,Turn on humidifier,2025-05-01 18:06:28,18
0x011328e447ff0ddf4c53d032065b681c7e922ba3a370167a6a43cf37d8e681ab,CB151A0062CD,Unlock door,2025-05-01 15:08:56,15
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,CB151A0062CD,Unlock door,2025-05-05 03:59:25,3
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,CB151A0062CD,Read lock state,2025-05-29 06:24:58,6
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,B0E9FE892B71,Turn off circulator fan,2025-05-26 00:19:58,0
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,B08184D72E46,Turn off purifier,2025-05-30 05:53:25,5
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,CB151A0062CD,Read lock state,2025-05-02 22:44:58,22
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,B08184D72E46,Turn off purifier,2025-05-30 07:16:41,7
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,D48C49DC31EA,Turn on humidifier,2025-05-06 10:04:32,10
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,02-202505201955-58136578,Turn off light,2025-05-12 18:43:30,18
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,CB151A0062CD,Read lock state,2025-05-09 00:29:58,0
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,02-202505201955-58136578,Turn off light,2025-05-02 14:20:53,14
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,D48C49DC31EA,Turn on humidifier,2025-05-04 23:59:57,23
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,CB151A0062CD,Unlock door,2025-05-26 20:33:30,20
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,02-202505201955-58136578,Turn off light,2025-05-07 02:16:00,2
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,CB151A0062CD,Read lock state,2025-05-23 03:13:03,3
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,FEC966A1B4C1,Read current temperature,2025-05-10 15:05:46,15
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,CB151A0062CD,Unlock door,2025-05-05 02:26:02,2
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,CB151A0062CD,Unlock door,2025-05-21 01:16:32,1
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,B0E9FE892B71,Turn off circulator fan,2025-05-21 02:48:39,2
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,02-202505201955-58136578,Turn off light,2025-05-13 04:28:54,4
0x34b0ea658bec2768aad75866087d0aa97a8ff2f5ddb715d7988521144e4bc829,B0E9FE892B71,Turn off circulator fan,2025-05-16 21:04:33,21
