user_id,device_id,event_type,timestamp,hour
0x57e083796a6d76d4e7bc520cd78da84127f42bb52890db5e12841f08a3f4f5a3,B0E9FE892B71,Turn on circulator fan,2025-05-01 12:54:53,12
0xe118dd7a2cc08fe8b3e2921bd1d359a51e196f9f9f08d178aa5b5922e79e57e9,02-202505201942-51413180,Turn off AC,2025-05-01 11:21:39,11
0xe2c21b9858656d006bb19eb15bb365b911077b7192b8f0408ae46ff93438760a,CB151A0062CD,Read door state,2025-05-01 17:57:01,17
0xc0f210abc49e9753e5380696cf3e3a41ab3982507ff85bbde292e510f1087a01,02-202505201942-51413180,Turn off AC,2025-05-01 15:55:46,15
0x5d2fdebd6752571779715fea702e2f0c16a9454d84107cf2ccc9290a1ab752f8,FEC966A1B4C1,Read current humidity,2025-05-01 13:09:53,13
0xd2625beafb3a835e499f138f94564e0322e99f8ebd3e75faa8ee50c2f35f9ca7,FEC966A1B4C1,Read current lightlevel,2025-05-01 18:00:57,18
0xb8b36b229452f290954e223d8892c47f7e93666d9cbefd35091407149ad7e472,02-202505201942-51413180,Turn off AC,2025-05-01 11:24:41,11
0x95e06ff07c44c670761a1257d731a17ec36243e00ada45931d926540b2af2bd4,D48C49DC31EA,Turn off humidifier,2025-05-01 14:01:54,14
0xfc3f07dfadcaf7c7fc7bb493939ab7bd9352b28a5ef1a1bef52a05b60ae40c2d,CB151A0062CD,Read lock state,2025-05-01 15:14:21,15
0xe6e7c8fca4364acff371e0f9bb379c13d3a8f9ce70acf1c083ab135af43979f8,B0E9FE892B71,Turn on circulator fan,2025-05-01 11:02:02,11
0x9a321d704ada94166b27893d481af34673cdce312862aa2a2d8cd1cfde23f805,D48C49DC31EA,Turn off humidifier,2025-05-01 14:48:12,14
0x9e769e80c1f6ac4b8e70510a20adedf455e77d3a4e264ea153151b54ed43e693,FEC966A1B4C1,Read current temperature,2025-05-01 17:49:21,17
0x4fdf7ce784f4a294afb9427dc5c829ed864ea8528d1beca7cc005d0d9c23b6fe,B0E9FE892B71,Turn on circulator fan,2025-05-01 15:34:06,15
0xf61c7cd8decc94360cfe1b5137671cdb084168034dc700a83aab662b982a2b38,CB151A0062CD,Read lock state,2025-05-01 08:15:21,8
0x6be879b084f3145c7a3552b96a68369509196c309fa7b37632a4d1726a006fd2,FEC966A1B4C1,Read current humidity,2025-05-01 18:51:32,18
0x8ccade5821e53265e907332ac917e6ba7cc233ec0eab590ebc290d36e9abb1c4,CB151A0062CD,Read door state,2025-05-01 13:16:29,13
0x9765b34df8ced94d8884cd8e6133558bbd7d490aef30123622fc25faee03d915,B08184D72E46,Turn off purifier,2025-05-01 17:56:21,17
0xbfb70087f7951c2d3835075a7466ae2e4a4230494ee33a9d390e15f3d1bc62f3,B08184D72E46,Turn off purifier,2025-05-01 11:52:42,11
0x80487dde34d0705faf38937eafa5b82a70646c969f3d0e762dab66e15b9258d0,D48C49DC31EA,Turn on humidifier,2025-05-01 18:06:28,18
0x774b580cb06792eb197a85bf4e9031fe867dc7b6fda6204ab785a7de6e253ff6,CB151A0062CD,Unlock door,2025-05-01 15:08:56,15
0xa3ac38a36c32b16609096cda4939a723cad1c8a77a73dd0717a87e88c70567b1,FEC966A1B4C1,Read current humidity,2025-05-01 17:49:21,17
0x1b5c64f1f67bcd3796c45eed889ed026e676df29932c47aaa47e1afd67a9163c,02-202505201942-51413180,Turn on AC,2025-05-01 11:22:39,11
0xec78442b60ae9115e10fefdd3197dfc1b78ccf2f654c97ea3f871dace00e0890,B08184D72E46,Turn on purifier,2025-05-01 17:58:21,17
0xf9a8cdc70e9e47ee1d20718db546986e0b2175013f8ba728ce22f5095add8486,CB151A0062CD,Read lock state,2025-05-01 17:57:01,17
